1,Apples,0.3
2,Bananas,0.8
3,Barley,1.1
4,Beef (beef herd),59.6
5,Beef (dairy herd),21.1
6,Beet Sugar,1.4
7,Berries & Grapes,1.1
8,Brassicas,0.4
9,Cane Sugar,2.6
10,Cassava,0.9
11,Cheese,21.2
12,Citrus Fruit,0.3
13,Coffee,16.5
14,Dark Chocolate,18.7
15,Eggs,4.5
16,Fish (farmed),5.1
17,Groundnuts,2.4
18,Lamb & Mutton,24.5
19,Maize,1.1
20,Milk,2.8
21,Nuts,0.2
22,Oatmeal,1.6
23,Olive Oil,6
24,Onions & Leeks,0.3
25,Other Fruit,0.7
26,Other Pulses,1.6
27,Other Vegetables,0.5
28,Palm Oil,7.6
29,Peas,0.8
30,Pig Meat,7.2
31,Potatoes,0.3
32,Poultry Meat,6.1
33,Rapeseed Oil,3.7
34,Rice,4
35,Root Vegetables,0.3
36,Shrimps (farmed),11.8
37,Soybean Oil,6
38,Soymilk,1
39,Sunflower Oil,3.5
40,Tofu,3
41,Tomatoes,1.4
42,Wheat & Rye,1.4
43,Wine,1.4
